Episode,Opinion,Percent
6,Guilty,30.3333
6,Not Guilty,27.333333
6,Undecided,42.33333
7,Guilty,36.33333
7,Not Guilty,32.33333
7,Undecided,31.33333
8,Guilty,44
8,Not Guilty,22
8,Undecided,34
9,Guilty,21
9,Not Guilty,42
9,Undecided,37
10,Guilty,27
10,Not Guilty,41
10,Undecided,32
11,Guilty,27.33333
11,Not Guilty,48.33333
11,Undecided,24.3333
12,Guilty,18.66666
12,Not Guilty,60.66666
12,Undecided,20.66666
