Episode,Opinion,Percent
6,Guilty,33
6,Not Guilty,18
6,Undecided,49
7,Guilty,23
7,Not Guilty,37
7,Undecided,40
8,Guilty,42
8,Not Guilty,18
8,Undecided,40
9,Guilty,17
9,Not Guilty,44
9,Undecided,39
10,Guilty,23.667
10,Not Guilty,44.6666
10,Undecided,31.6666
11,Guilty,25
11,Not Guilty,49
11,Undecided,26
12,Guilty,23
12,Not Guilty,54
12,Undecided,23
