Episode,Opinion,Percent
6,Guilty,34
6,Not Guilty,16
6,Undecided,50
7,Guilty,21.33333
7,Not Guilty,37.33333
7,Undecided,41.33333
8,Guilty,42
8,Not Guilty,18
8,Undecided,40
9,Guilty,16.66666
9,Not Guilty,44.666666
9,Undecided,38.66666
10,Guilty,23
10,Not Guilty,45
10,Undecided,32
11,Guilty,24
11,Not Guilty,50
11,Undecided,26
12,Guilty,22.66666
12,Not Guilty,53.666666
12,Undecided,23.666666
